ID,Grupo,Fabricante,Modelo,Ano
451,UTV'S,2021,SIERRA Cars,RX3
452,RETRO RALLY,1998,Subaru,Impreza 22B-STi Version
453,MODERN RALLY,2004,Subaru,IMPREZA WRX STi
454,MODERN RALLY,2005,Subaru,IMPREZA WRX STI
455,MODERN RALLY,2008,Subaru,IMPREZA WRX STI
456,MODERN RALLY,2011,Subaru,WRX STI
457,MODERN SPORTS CARS,2013,Subaru,BRZ
458,MODERN RALLY,2015,Subaru,WRX STI
459,RARE CLASSICS,1969,Toyota,2000GT
460,CLASSIC SPORTS CARS,1974,Toyota,Celica GT
461,PICK-UP & 4X4'S,1979,Toyota,FJ40
462,RETRO SPORTS CARS,1985,Toyota,Sprinter Trueno GT Apex
463,RETRO SPORTS CARS,1989,Toyota,MR2 SC
464,RETRO SPORTS CARS,1992,Toyota,Supra 2.0 GT
465,RETRO RALLY,1992,Toyota,Celica GT-Four RC ST185
466,RETRO RALLY,1994,Toyota,Celica GT-Four ST205
467,RETRO SPORTS CARS,1998,Toyota,Supra RZ
468,RETRO SPORTS CARS,1998,Toyota,"Supra RZ ""Welcome Pack"""
469,MODERN SPORTS CARS,2013,Toyota,86
470,MODERN SPORTS CARS,2020,Toyota,GR Supra
471,RETRO SUPERCARS,1998,TVR,Cerbera Speed 12
472,RETRO SPORTS CARS,2005,TVR,Sagaris
473,MODERN SPORTS CARS,2018,TVR,Griffith
474,EXTREME TRACK TOYS,2015,Ultima,Evolution Coupe 1020
475,MODERN MUSCLE,2005,Vauxhall,Monaro VXR
476,HOT HATCH,2016,Vauxhall,Corsa VXR
477,CULT CARS,1963,Volkswagen,Type 2 De Luxe
478,CULT CARS,1963,Volkswagen,Beetle
479,BUGGIES,1969,Volkswagen,Class 5/1600 Baja Bug
480,BUGGIES,1970,Volkswagen,#1107 Desert Dingo Racing Stock Bug
481,RETRO HOT HATCH,1981,Volkswagen,Scirocco S
482,RETRO HOT HATCH,1983,Volkswagen,Golf GTI
483,RETRO HOT HATCH,1992,Volkswagen,Golf Gti 16v Mk2
484,RETRO HOT HATCH,1995,Volkswagen,Corrado VR6
485,RETRO HOT HATCH,1998,Volkswagen,GTI VR6 Mk3
486,HOT HATCH,2003,Volkswagen,Golf R32
487,SUPER HOT HATCH,2010,Volkswagen,Golf R
488,HOT HATCH,2011,Volkswagen,Scirocco R
489,SUPER HOT HATCH,2014,Volkswagen,Golf R
490,RALLY MONSTERS,2017,Volkswagen,#34 Volkswagen Andretti Rallycross Beetle
491,CLASSIC RALLY,1983,Volvo,242 Turbo Evolution
492,RETRO SALOONS,1997,Volvo,850 R
493,SUPER SALOONS,2015,Volvo,V60 Polestar
494,TRACK TOYS,2017,VUHL,05RR
495,PICK-UP & 4X4'S,1945,WILLYS,MB Jeep
496,HYPERCARS,2019,Zenvo,TSR-S
497,CLASSIC SPORTS CARS,1953,Chevrolet,Corvette
498,CLASSIC RACERS,1953,Chevrolet,Corvette Forza Edition
499,RALLY MONSTERS,2018,Exomotive,Exocet Off-Road Forza Edition
500,EXTREME TRACK TOYS,2011,Lamborghini,Sesto Elemento Forza Edition
501,TRACK TOYS,2010,Maserati,Gran Turismo S Forza Edition
502,EXTREME TRACK TOYS,1998,Mercedes-Benz,AMG CLK GTR Forza Edition
503,UNLIMITED OFFROAD,2015,Mercedes-Benz,#24 Tankpool24 Racing Truck Forza Edition
504,TRACK TOYS,1971,Meyers,Manx Forza Edition
505,TRACK TOYS,1953,Morris,Minor 1000 Forza Edition
506,UNLIMITED OFFROAD,2003,Nissan,Fairlady Z Forza Edition
507,EXTREME TRACK TOYS,2016,Pagani,Huayra BC Forza Edition
508,TRACK TOYS,1987,Pontiac,Firebird Trans Am GTA Forza Edition
509,RALLY MONSTERS,2019,Porsche,911 GT3 RS Forza Edition
510,TRACK TOYS,1963,Volkswagen,Beetle Forza Edition
511,EXTREME TRACK TOYS,2011,BMW,X5 M Forza Edition
512,TRACK TOYS,1969,Dodge,Charger R/T Forza Edition
513,RALLY MONSTERS,1999,Ford,Racing Puma Forza Edition
514,UNLIMITED BUGGIES,1932,Ford,De Luxe Five-Window Coupe Forza Edition
515,,2021,Mercedes-AMG,Mercedes-AMG ONE Forza Edition
516,CLASSIC SPORTS CARS,1973,BMW,2002 TURBO
517,CLASSIC RACERS,1962,Ferrari,250 GTO
518,HYPERCARS,2019,RAESR,Tachyon Speed
519,HYPERCARS,2018,ItalDesign,ZeroUno
520,CULT CARS,1953,Morris,Minor 1000
521,RETRO SPORTS CARS,1982,DeLorean,DMC-12
522,CLASSIC MUSCLE,1968,Dodge,Dart Hemi Super Stock
523,EXTREME TRACK TOYS,1989,Ferrari,F40 Competizione
524,RETRO HOT HATCH,1984,Honda,Civic CRX Mugen
525,RETRO MUSCLE,1999,Dodge,Viper GTS ACR
526,PICK-UP & 4X4'S,1970,GMC,Jimmy
527,UNLIMITED OFFROAD,1993,Toyota,#1 T100 Baja Truck
528,TRACK TOYS,2010,Forsberg Racing,Toyota Gumout 2JZ CAMRY Stock Car
529,RETRO SPORTS CARS,1975,Forsberg Racing,"Nissan ""Gold Leader"" Datsun 280Z"
530,RARE CLASSICS,1973,Porsche,911 Carrera RS
531,CULT CARS,1968,Renault,4L Export
532,DRIFT CARS,2017,Formula Drift,#357 Chevrolet Corvette Z06
533,DRIFT CARS,2020,Formula Drift,#91 BMW M2
534,DRIFT CARS,2020,Formula Drift,#151 Toyota GR Supra
535,DRIFT CARS,2019,Formula Drift,#411 Toyota Corolla Hatchback
536,DRIFT CARS,1995,Formula Drift,#34 Toyota Supra MKIV
537,DRIFT CARS,2009,Formula Drift,#99 Mazda RX-8
538,SUPER HOT HATCH,2016,Honda,Civic Type R
539,MODERN RALLY,2019,Subaru,STI S209
540,CLASSIC RALLY,1967,Renault,8 Gordini
541,CLASSIC MUSCLE,1970,Mercury,Cyclone Spoiler
542,MODERN SUPERCARS,2017,Ferrari,J50
543,SUPER GT,2019,Ferrari,Monza SP2
544,RETRO SUPERCARS,1973,Lamborghini,Espada 400 GT
545,MODERN SUPERCARS,2020,Lamborghini,Huracán EVO
546,CLASSIC RACERS,1966,Jaguar,XJ13
547,RETRO SUPERCARS,1993,Jaguar,XJ220S TWR
548,EXTREME TRACK TOYS,2018,Ferrari,FXX-K Evo
549,MODERN SPORTS CARS,2018,Audi,TT RS
550,HYPERCARS,2018,Lamborghini,Aventador SVJ
551,SUPER GT,2010,Ferrari,599 GTO
552,HYPERCARS,2012,Lamborghini,Aventador J
553,MODERN SUPERCARS,2012,Lamborghini,Gallardo LP 570-4 Spyder Performante
554,CULT CARS,1965,Peel,Trident
555,CULT CARS,1962,Peel,P50
556,RETRO SUPERCARS,2002,Ferrari,575M Maranello
557,VINTAGE RACERS,1939,Maserati,8CTF
558,RETRO SPORTS CARS,2003,Toyota,Celica Sport Specialty II
559,TRACK TOYS,2013,Donkervoort,D8 GTO
560,PICK-UP & 4X4'S,2016,Toyota,Land Cruiser Arctic Trucks AT37
561,PICK-UP & 4X4'S,2007,Toyota,Hilux Arctic Trucks AT38
562,TRACK TOYS,2015,Jaguar,XKR-S GT
563,RETRO SALOONS,1990,Vauxhall,Lotus Carlton
564,CLASSIC MUSCLE,1971,Ford,Mustang Mach 1
565,HYPERCARS,2016,Zenvo,ST1
566,MODERN SUPERCARS,2017,Ford,GT 'OPI Edition'
567,TRACK TOYS,2012,Porsche,911 GT3 RS 4.0
568,VANS AND UTILITY,2013,Wuling,Sunshine S
569,HOT HATCH,2015,MG,MG3
570,HYPERCARS,2016,NIO,EP9
571,RETRO RALLY,1992,Mazda,323 GT-R
572,RETRO SPORTS CARS,2005,MG,XPower SV-R
573,MODERN SUPERCARS,2010,Porsche,911 Sport Classic
574,SUPER HOT HATCH,2021,Volkswagen,Golf R
575,EXTREME TRACK TOYS,2018,KTM,X-Bow GT4
576,PICK-UP & 4X4'S,2019,Toyota,4Runner TRD Pro
577,MODERN SUPERCARS,2010,Noble,M600
578,TRACK TOYS,2020,Nissan,GT-R NISMO (R35)
579,SUPER HOT HATCH,1965,Mini,Cooper S Forza Edition
580,RETRO MUSCLE,1986,Ford,Mustang SVO
581,PICK-UP & 4X4'S,2020,Toyota,Tundra TRD Pro
582,TRACK TOYS,2006,Noble,M400
583,TRACK TOYS,2017,Ferrari,#25 Corse Clienti 488 Challenge
584,MODERN SUPERCARS,2014,McLaren,650S Spider
585,TRACK TOYS,2021,Ford,Mustang Mach-E 1400
586,MODERN SUPERCARS,2012,Ascari,KZ1R
587,TRACK TOYS,2021,McLaren,765LT
588,MODERN SUPERCARS,2018,ATS,GT
589,CLASSIC MUSCLE,1966,Oldsmobile,Toronado
590,TRACK TOYS,2021,McLaren,620R
591,SUPER HOT HATCH,2021,Mini,John Cooper Works GP
592,MODERN SPORTS CARS,2019,Porsche,911 Speedster
593,HYPERCARS,2020,Ferrari,SF90 Stradale
594,RARE CLASSICS,1962,Ferrari,250 GT Berlinetta Lusso
595,SUPER GT,2014,Ferrari,California T
596,RETRO SUPERCARS,1992,Ferrari,512 TR
597,MODERN SUPERCARS,2019,Ferrari,F8 Tributo
598,VANS AND UTILITY,2003,Ford,F-150 SVT Lightning
599,RALLY MONSTERS,2014,Forsberg Racing,Nissan 'SafariZ' 370Z Safari Rally Tribute
600,PICK-UP & 4X4'S,2019,Toyota,Tacoma TRD Pro
601,MODERN MUSCLE,2008,Dodge,Magnum SRT-8
602,GT CARS,2020,BMW,M8 Competition Coupe
603,SUPER SALOONS,2020,Audi,RS 3 Sedan
604,SUPER SALOONS,2018,Audi,RS 5 Coupe
605,VANS AND UTILITY,1982,Volkswagen,Pickup LX
606,TRACK TOYS,2021,Porsche,911 GT3
607,SUPER SALOONS,2018,Audi,RS 4 Avant
608,SUPER GT,2015,Mercedes-AMG,GT S
609,RODS AND CUSTOMS,2018,Hot Wheels,2JetZ
610,CLASSIC MUSCLE,1968,Plymouth,Barracuda Formula-S
611,CLASSIC MUSCLE,1970,Dodge,Coronet Super Bee
612,RODS AND CUSTOMS,1957,Hot Wheels,Nash Metropolitan Custom
613,UNLIMITED BUGGIES,2012,Hot Wheels,Rip Rod
614,RODS AND CUSTOMS,1949,Hot Wheels,Ford F-5 Dually Custom Hot Rod
615,TRACK TOYS,2005,Hot Wheels,Ford Mustang
616,SPORTS UTILITY HEROES,2021,Aston Martin,DBX
617,TRACK TOYS,2020,Lexus,RC F Track Edition
618,MODERN SPORTS CARS,2019,Nissan,370z Nismo
619,TRACK TOYS,2018,Chevrolet,Hot Wheels COPO Camaro
620,EXTREME TRACK TOYS,2012,Hot Wheels,Bad to the Blade
621,UNLIMITED OFFROAD,2013,Hot Wheels,Baja Bone Shaker
622,RODS AND CUSTOMS,2000,Hot Wheels,Deora II
623,HYPERCARS,2021,Hennessey,Venom F5
624,EXTREME TRACK TOYS,2019,Brabham,BT62
625,EXTREME TRACK TOYS,2006,Mosler,MT900 GT3
626,EXTREME TRACK TOYS,2020,SIERRA Cars,#23 Yokohama ALPHA
627,RALLY MONSTERS,2018,Subaru,WRX STI ARX Supercar
628,RETRO SUPERCARS,1993,Schuppan,962CR
629,UNLIMITED OFFROAD,2022,Extreme E,#99 Chip Ganassi Racing GMC Hummer EV
630,UNLIMITED OFFROAD,2022,Extreme E,#5 Veloce Racing
631,UNLIMITED OFFROAD,2022,Extreme E,#6 Rosberg X Racing
632,UNLIMITED OFFROAD,2022,Extreme E,#22 JBXE
633,UNLIMITED OFFROAD,2022,Extreme E,#23 Genesys Andretti United
634,UNLIMITED OFFROAD,2022,Extreme E,#42 XITE Racing Team
635,UNLIMITED OFFROAD,2022,Extreme E,#44 X44
636,UNLIMITED OFFROAD,2022,Extreme E,#55 ACCIONA | Sainz XE Team
637,UNLIMITED OFFROAD,2022,Extreme E,#58 McLaren Racing
638,UNLIMITED OFFROAD,2022,Extreme E,#125 ABT Cupra XE
639,MODERN SPORTS CARS,1995,Porsche,911 Carrera 2 by Gunther Werks
640,MODERN SUPERCARS,1990,Porsche,911 Reimagined by Singer - DLS
641,CLASSIC RACERS,1971,Porsche,#23 917/20
642,CLASSIC SPORTS CARS,1964,Porsche,356 C Cabriolet Emory Special
643,TRACK TOYS,2010,BMW,M3 GTS
644,SUPER SALOONS,2021,BMW,M4 Competition Coupé
645,CLASSIC RACERS,1955,Mercedes-Benz,300 SLR
646,CLASSIC RACERS,1955,Porsche,550A Spyder
647,RETRO MUSCLE,1985,HDT,VK Commodore Group A
648,RETRO RALLY,1990,Subaru,Legacy RS
649,SUPER SALOONS,2020,Xpeng,P7
650,SUPER SALOONS,2021,Audi,RS E-Tron GT
651,SUPER SALOONS,2021,Audi,RS 7 Sportback
652,RETRO SALOONS,1991,Bentley,Turbo R
653,SUPER SALOONS,2021,Lynk & Co,03+
654,SUPER SALOONS,2018,Nissan,Sentra Nismo
655,SUPER GT,2010,Aston Martin,One-77
656,MODERN MUSCLE,2013,Dodge,SRT Viper GTS Anniversary Edition
657,MODERN SPORTS CARS,2012,Eagle,Speedster
658,EXTREME TRACK TOYS,2010,Ferrari,599XX
659,HYPERCARS,2011,Koenigsegg,Agera
660,TRACK TOYS,2020,Lynk & Co,#100 Cyan Racing 03
661,RODS AND CUSTOMS,1946,Ford,Super Deluxe Station Wagon
662,VANS AND UTILITY,1965,Morris,Mini-Traveller
663,VANS AND UTILITY,1953,Morris,Minor Series II Traveler
664,CLASSIC MUSCLE,1971,AMC,Javelin AMX
665,CLASSIC MUSCLE,1970,AMC,"Rebel ""The Machine"""
666,SUPER SALOONS,2013,Cadillac,XTS Limousine
667,TRACK TOYS,2022,Cupra,UrbanRebel Concept
668,HYPERCARS,2020,Lamborghini,Sián Roadster
669,RODS AND CUSTOMS,1958,Plymouth,Fury
670,SUPER SALOONS,2021,MG,MG6 XPower
671,TRACK TOYS,2020,MG,#20 MG6 XPower
672,HOT HATCH,2010,Renault,Clio R.S.
673,SUPER HOT HATCH,2016,Renault,Clio R.S. 16 Concept
674,SUPER HOT HATCH,2010,Renault,Megane RS 250
675,MODERN SPORTS CARS,2023,Nissan,Z
676,RETRO SPORTS CARS,1995,Toyota,MR2 GT
677,RETRO RALLY,1992,Mitsubishi,Galant VR-4
678,CLASSIC SPORTS CARS,1965,Toyota,Sports 800
679,HYPERCARS,2009,Pagani,Zonda Cinque Roadster 'Oreo Edition’
680,UTV'S,2021,SIERRA Cars,700R
681,VANS AND UTILITY,1980,Subaru,BRAT GL
682,RALLY MONSTERS,2016,Hoonigan,GYMKHANA 9 Ford Focus RS RX
683,RALLY MONSTERS,1986,Audi,#2 Audi Sport quattro S1
684,UNLIMITED OFFROAD,2015,Honda,Ridgeline Baja Trophy Truck
685,UTV'S,2021,Polaris,RZR Pro XP Ultimate
686,PICK-UP & 4X4'S,1985,Nissan,Safari Turbo
687,PICK-UP & 4X4'S,2022,Ford,F-150 Lightning Platinum
688,BUGGIES,1973,Hoonigan,Volkswagen Baja Beetle Class 5/1600 ‘Scumbug’
689,RALLY MONSTERS,2001,Ford,#4 Ford Focus RS
690,UNLIMITED OFFROAD,2022,Alumi Craft,#6165 Trick Truck
691,UTV'S,2021,Polaris,RZR Pro XP Factory Racing Limited Edition
692,UNLIMITED BUGGIES,2020,Jimco,#179 Hammerhead Class 1
693,UNLIMITED OFFROAD,2019,Jimco,#240 Fastball Racing Spec Trophy Truck
694,UNLIMITED OFFROAD,2019,Casey Currie Motorsports,#4402 Ultra 4 ‘Trophy Jeep’
695,UNLIMITED OFFROAD,2021,RJ Anderson,#37 Polaris RZR Pro 4 Truck
696,UNLIMITED BUGGIES,2021,Alumi Craft,#122 Class 1 Buggy
697,HYPERCARS,2021,Rimac,Nevera
698,MODERN MUSCLE,2022,Cadillac,CT5-V Blackwing
699,GT CARS,2021,Lexus,LC 500
700,MODERN MUSCLE,2022,Cadillac,CT4-V Blackwing
701,TRACK TOYS,2020,Lamborghini,Huracán STO
702,EXTREME TRACK TOYS,2019,Porsche,#70 Porsche Motorsport 935
703,SUPER SALOONS,2021,Audi,RS 6 Avant
704,EXTREME TRACK TOYS,2022,Porsche,Mission R
705,UNLIMITED OFFROAD,2019,Deberti,Ford Super Duty F-250 Lariat 'Transformer'
706,PICK-UP & 4X4'S,1986,Ford,F-150 XLT Lariat
707,PICK-UP & 4X4'S,1972,Chevrolet,K-10 Custom
708,PICK-UP & 4X4'S,2022,GMC,HUMMER EV Pickup
709,SPORTS UTILITY HEROES,2022,Cupra,Formentor VZ5
710,SPORTS UTILITY HEROES,2022,Cupra,Tavascan Concept
711,TRACK TOYS,2003,Nissan,Donut Media 350Z 'Hi Car'
712,TRACK TOYS,2004,Nissan,Donut Media 350Z 'Low Car'
713,TRACK TOYS,1994,Ford,Supervan 3 Donut Media Edition
714,DRIFT CARS,1996,Formula Drift,#51 Donut Media Nissan 240SX
715,DRIFT CARS,2023,Formula Drift,#64 Forsberg Racing Nissan Z
716,TRACK TOYS,2021,Mercedes-AMG,GT Black Series
717,VANS AND UTILITY,1991,GMC,Syclone
718,VANS AND UTILITY,1992,GMC,Typhoon
719,SUPER GT,2009,Mercedes-Benz,SL 65 AMG Black Series
720,MODERN SPORTS CARS,2023,Lotus,Emira
721,EXTREME TRACK TOYS,2022,Pagani,Huayra R
722,DRIFT CARS,2021,Forsberg Racing,Nissan ‘Altimaniac’
723,PICK-UP & 4X4'S,2020,Saleen,Sportruck XR Black Label
724,RODS AND CUSTOMS,1956,Chevrolet,'Barbie Movie' Corvette EV
725,PICK-UP & 4X4'S,2022,GMC,'Barbie Movie' Hummer EV Pickup
726,TRACK TOYS,2019,Hennessey,Camaro Exorcist
727,MODERN MUSCLE,2018,Deberti,Ford Mustang GT
728,CLASSIC MUSCLE,1973,Ford,XB Falcon GT
729,TRACK TOYS,1970,Hot Wheels,Pontiac Firebird Trans Am Custom
730,MODERN SPORTS CARS,2022,Toyota,GR86
731,CLASSIC MUSCLE,1973,Pontiac,Firebird Trans Am SD-455
732,CULT CARS,1968,Abarth,595 Esseesse
733,SUPER SALOONS,2017,Alfa Romeo,Giulia Quadrifoglio
734,CLASSIC RACERS,1968,Alfa Romeo,33 Stradale
735,CLASSIC RACERS,1965,Alfa Romeo,Giulia TZ2
736,RARE CLASSICS,1965,Alfa Romeo,Giulia Sprint GTA Stradale
737,CLASSIC SPORTS CARS,1980,Fiat,124 Sport Spider
738,RETRO RALLY,1992,Lancia,Delta HF Integrale EVO
739,CLASSIC RALLY,1974,Lancia,Stratos HF Stradale
740,RETRO SALOONS,1992,Alfa Romeo,155 Q4
741,RETRO RALLY,1986,Lancia,Delta S4
742,HOT HATCH,2016,Abarth,695 Biposto
743,MODERN SPORTS CARS,2014,Alfa Romeo,4C
744,CLASSIC RALLY,1980,Abarth,Fiat 131
745,GT CARS,2007,Alfa Romeo,8C Competizione
746,MODERN SPORTS CARS,2017,Abarth,124 Spider
747,RETRO RALLY,1982,Lancia,037 Stradale
748,MODERN SUPERCARS,2022,Lamborghini,Huracán Tecnica
749,MODERN SUPERCARS,2022,Ferrari,296 GTB
750,SUPER GT,2020,Ferrari,Roma
751,EXTREME TRACK TOYS,2020,Lamborghini,Essenza SCV12
752,HYPERCARS,2020,Lamborghini,SC20
753,GT CARS,2019,ItalDesign,DaVinci Concept
754,EXTREME TRACK TOYS,2018,Lamborghini,#63 Squadra Corse Huracán Super Trofeo Evo
755,PICK-UP & 4X4'S,2022,Rivian,R1T
756,SPORTS UTILITY HEROES,2022,Rivian,R1S
757,RETRO SPORTS CARS,1995,BMW,850CSi
758,SUPER SALOONS,2021,BMW,M3 Competition Sedan
759,SPORTS UTILITY HEROES,2022,BMW,iX xDrive50
760,SUPER SALOONS,2023,BMW,M2
761,SUPER SALOONS,2022,BMW,i4 eDrive40
762,MODERN SUPERCARS,2024,Chevrolet,Corvette E-Ray
764,RETRO SALOONS,2010,Nissan,Tsuru
765,BUGGIES,2023,Meyers,Manx 2.0
766,PICK-UP & 4X4'S,2022,Ford,Bronco Raptor
767,CLASSIC RACERS,1951,Porsche,356 SL
768,SUPER HOT HATCH,2022,Volkswagen,Golf R
769,TRACK TOYS,2022,Porsche,718 Cayman GT4 RS
770,EXTREME TRACK TOYS,2020,KTM,X-Bow GT2
771,TRACK TOYS,2019,Elemental,RP1
772,TRACK TOYS,2023,Chevrolet,Corvette Z06
773,CLASSIC MUSCLE,1964,Plymouth,Belvedere
774,CLASSIC MUSCLE,1966,Chevrolet,Nova Super Sport
775,CLASSIC MUSCLE,1968,Pontiac,Firebird
776,SUPER SALOONS,2023,Lucid,Air Sapphire
777,CLASSIC MUSCLE,1969,Pontiac,GTO Judge
778,MODERN SUPERCARS,2010,Rossion,Q1
779,RODS AND CUSTOMS,1962,Lincoln,Continental
780,EXTREME TRACK TOYS,2017,Saleen,S7 LM
781,RODS AND CUSTOMS,1961,Deberti,Ford Econoline 'Shop Rod'
782,PICK-UP & 4X4'S,2020,Chevrolet,Silverado LT Trail Boss
783,EXTREME TRACK TOYS,2024,Czinger,21C
784,CLASSIC RACERS,1958,Aston Martin,DBR1
785,CLASSIC RACERS,1953,Jaguar,C-Type
786,CLASSIC RACERS,1970,Ferrari,512 S
787,CLASSIC RACERS,1966,Porsche,906 Carrera 6
788,CLASSIC MUSCLE,1970,Fast and Furious,Dodge Charger 'Fast X'
789,TRACK TOYS,1966,Fast and Furious,Chevrolet Impala Super Sport 'Fast X'
790,CLASSIC SPORTS CARS,1973,Fast and Furious,Datsun 240Z 'Fast X'
791,MODERN MUSCLE,2022,Fast and Furious,Dodge Charger SRT Hellcat Redeye Widebody 'Fast X'
792,TRACK TOYS,2022,Fast and Furious,Flip Car 2.0 'Fast X'
793,TRACK TOYS,2009,Lotus,2-Eleven
794,TRACK TOYS,2019,Morgan,Aero GT
795,MODERN SPORTS CARS,2022,Subaru,BRZ
796,TRACK TOYS,2000,Lotus,340R
797,HYPERCARS,2022,Gordon Murray Automotive,T.50
798,HYPERCARS,2023,Aston Martin,Valkyrie
799,MODERN SUPERCARS,2011,McLaren,12C Coupé
800,GT CARS,2008,Aston Martin,DBS
801,HYPERCARS,2006,Koenigsegg,CCX
802,HYPERCARS,2016,W Motors,Lykan Hypersport
803,HYPERCARS,2012,Pagani,Huayra
804,RARE CLASSICS,1967,Mercedes-Benz,280 SL
805,MODERN SUPERCARS,2016,Spania GTA,GTA Spano
806,CLASSIC SPORTS CARS,1969,Fiat,Dino 2.4 Coupe
807,SPORTS UTILITY HEROES,2022,Lynk & Co,05+
808,GT CARS,2023,MG,Cyberster
809,HOT HATCH,2022,Wuling,Hongguang Mini EV Macaron
810,RETRO SALOONS,2012,Volkswagen,Santana
811,SPORTS UTILITY HEROES,2022,Hyundai,Kona N
812,SUPER SALOONS,2022,Hyundai,IONIQ 6
813,HOT HATCH,2022,Lynk & Co,02 Hatchback
814,SUPER HOT HATCH,2020,Hyundai,i30N
815,SUPER SALOONS,2023,MG,MG7
816,EXTREME TRACK TOYS,2022,Aston Martin,Valkyrie AMR Pro
817,GT CARS,2021,Bentley,Continental GT Convertible
818,RETRO SALOONS,1987,Mercedes-Benz,AMG Hammer Wagon
819,TRACK TOYS,2019,Jaguar,XE SV Project 8
820,HYPERCARS,2020,Automobili Pininfarina,Battista
821,CLASSIC RALLY,1968,Lancia,Fulvia Coupé Rallye 1.6 HF
822,HOT HATCH,2021,Volkswagen,ID.4
823,CULT CLASSICS,1975,DS Automobiles,23
824,SUPER SALOONS,2021,Mercedes-AMG,SL 63
825,RETRO SUPERCARS,2002,Lotus,Esprit V8
826,RETRO SALOONS,1992,Mercedes-Benz,500 E
827,VANS AND UTILITY,1966,Volkswagen,Double Cab Pick-up
828,HYPERCARS,2021,McLaren,Sabre
829,TRACK TOYS,2019,Ginetta,G10 RM
830,EXTREME TRACK TOYS,2022,Ford,Supervan 4
831,CLASSIC MUSCLE,1967,Shelby,GT500
832,MODERN SUPERCARS,2023,McLaren,Artura
833,MODERN SPORTS CARS,2020,Audi,TT RS Coupe
834,RETRO MUSCLE,2003,Ford,Mustang SVT Cobra
835,GT CARS,2020,Jaguar,F-Type SVR
836,MODERN MUSCLE,2024,Ford,Mustang GT
837,PICK-UP & 4X4'S,2023,Ford,F-150 Raptor R
838,EXTREME TRACK TOYS,2018,BMW,#1 M Motorsport M8 GTE
839,EXTREME TRACK TOYS,2015,Cadillac,#3 Cadillac Racing ATS-V.R
840,EXTREME TRACK TOYS,2020,Chevrolet,#3 Corvette Racing C8.R
841,EXTREME TRACK TOYS,2018,Mercedes-AMG,GT3
842,EXTREME TRACK TOYS,2020,Lexus,#14 VASSER SULLIVAN RC F GT3
843,EXTREME TRACK TOYS,2019,Ferrari,#62 Risi Competizione 488 GTE
844,EXTREME TRACK TOYS,2018,Porsche,911 GT3 R
845,TRACK TOYS,2013,Chevrolet,Summit Racing Pro Stock Camaro
846,EXTREME TRACK TOYS,2016,Ford,#66 GTLM Le Mans
847,TRACK TOYS,2021,Hyundai,#98 Bryan Herta Autosport Elantra N
848,EXTREME TRACK TOYS,2005,Mitsubishi,#1 Sierra Enterprises Lancer Evolution Time Attack
849,EXTREME TRACK TOYS,2017,Porsche,#92 GT Team 911 RSR
850,TRACK TOYS,2022,Hyundai,N Vision 74
851,HYPERCARS,2021,Lamborghini,Countach LPI 800-4
852,RETRO SALOONS,1986,BMW,M635CSi
853,RETRO SUPERCARS,1980,Lotus,Esprit Turbo
854,RETRO RALLY,1986,Citroën,BX4TC
855,MODERN MUSCLE,2024,Ford,Mustang Dark Horse
856,SPORTS UTILITY HEROES,2023,Hyundai,iONIQ 5 N
857,MODERN RALLY,2021,Toyota,GR Yaris
858,SUPER SALOONS,2023,Porsche,Taycan Cross Turismo Turbo S
859,SPORTS UTILITY HEROES,2023,Kia,EV6 GT
860,PICK-UP & 4X4'S,1992,Universal Studios,Jeep Wrangler Sahara 'Jurassic Park'
861,RETRO MUSCLE,1982,Universal Studios,K.I.T.T.
862,CULT CLASSICS,1981,Universal Studios,Back To The Future Time Machine
863,CULT CLASSICS,1981,Universal Studios,Back To The Future Time Machine 2
864,CULT CLASSICS,1981,Universal Studios,Back To The Future Time Machine 3
865,SUPER GT,2017,Aston Martin,Vanquish Zagato Coupé
866,HYPERCARS,2021,Lamborghini,Aventador LP 780-4 Ultimae
867,CLASSIC SPORTS CARS,1976,Volkswagen,SP-2
868,MODERN SPORTS CARS,2022,Mazda,MX-5 Miata RF
869,CULT CLASSICS,1973,Volkswagen,Thing
870,RETRO HOT HATCH,1993,Autozam,AZ-1
871,PICK-UP & 4X4'S,1997,Mitsubishi,Montero Evolution
872,RETRO SALOONS,1997,Nissan,Stagea RS Four V
873,CULT CLASSICS,1991,Toyota,Sera
874,SUPER HOT HATCH,2022,Ford,Focus ST
875,SUPER SALOONS,2023,Toyota,Camry TRD
876,HOT HATCH,2023,Ford,Fiesta ST
877,SPORTS UTILITY HEROES,2021,Dodge,Durango SRT Hellcat
878,TRACK TOYS,1969,Chevrolet,Camaro Super Sport Coupe Forza Edition
879,RETRO RALLY,1995,Mitsubishi,Lancer Evolution III GSR
880,MODERN RALLY,2022,Subaru,WRX
881,RETRO SALOONS,1991,Toyota,Chaser GT Twin Turbo
882,HOT HATCH,2013,Volvo,C30 Polestar
883,RETRO SPORTS CARS,1997,Toyota,Soarer 2.5 GT-T
884,RETRO SPORTS CARS,1998,Mitsubishi,FTO GP Version R
885,RETRO SPORTS CARS,1990,Aston Martin,Lagonda
886,RETRO SPORTS CARS,1996,Subaru,SVX
887,TRACK TOYS,2023,Porsche,911 GT3 RS
888,RALLY MONSTERS,2023,Porsche,911 Rallye
889,EXTREME TRACK TOYS,2023,Porsche,911 GT3 R
890,MODERN SUPERCARS,2023,Porsche,911 Turbo S
891,MODERN SPORTS CARS,2024,Nissan,Z NISMO
