ID,Grupo,Fabricante,Modelo,Ano
108,CLASSIC MUSCLE,1969,Dodge,Charger R/T
109,CLASSIC MUSCLE,1969,Dodge,Charger Daytona HEMI
110,CLASSIC MUSCLE,1970,Dodge,Challenger R/T
111,TRACK TOYS,2008,Dodge,Viper SRT10 ACR
112,MODERN MUSCLE,2013,Dodge,SRT Viper GTS
113,MODERN MUSCLE,2015,Dodge,Challenger SRT Hellcat
114,MODERN MUSCLE,2015,Dodge,Charger SRT Hellcat
115,TRACK TOYS,2016,Dodge,Viper ACR
116,SPORTS UTILITY HEROES,2018,Dodge,Durango SRT
117,MODERN MUSCLE,2018,Dodge,Challenger SRT Demon
118,UNLIMITED BUGGIES,2018,Exomotive,Exocet Off-Road
119,CLASSIC RACERS,1957,Ferrari,250 Testa Rossa
120,RARE CLASSICS,1957,Ferrari,250 California
121,CLASSIC RACERS,1967,Ferrari,#24 Ferrari Spa 330 P4
122,RARE CLASSICS,1968,Ferrari,365 GTB/4
123,RARE CLASSICS,1969,Ferrari,Dino 246 GT
124,RETRO SUPERCARS,1984,Ferrari,288 GTO
125,RETRO SUPERCARS,1987,Ferrari,F40
126,RETRO SUPERCARS,1994,Ferrari,F355 Berlinetta
127,RETRO SUPERCARS,1995,Ferrari,F50
128,EXTREME TRACK TOYS,1996,Ferrari,F50 GT
129,RETRO SUPERCARS,2002,Ferrari,Enzo Ferrari
130,RETRO SUPERCARS,2003,Ferrari,360 Challenge Stradale
131,EXTREME TRACK TOYS,2005,Ferrari,FXX
132,MODERN SUPERCARS,2007,Ferrari,430 Scuderia
133,MODERN SUPERCARS,2009,Ferrari,458 Italia
134,EXTREME TRACK TOYS,2012,Ferrari,599XX Evolution
135,HYPERCARS,2013,Ferrari,LaFerrari
136,TRACK TOYS,2013,Ferrari,458 Speciale
137,EXTREME TRACK TOYS,2014,Ferrari,FXX K
138,MODERN SUPERCARS,2015,Ferrari,488 GTB
139,SUPER GT,2015,Ferrari,F12tdf
140,SUPER GT,2017,Ferrari,812 Superfast
141,SUPER GT,2017,Ferrari,GTC4Lusso
142,SUPER GT,2018,Ferrari,Portofino
143,TRACK TOYS,2019,Ferrari,488 Pista
144,RODS AND CUSTOMS,1932,Ford,De Luxe Five-Window Coupe
145,RODS AND CUSTOMS,1940,Ford,De Luxe Coupe
146,RODS AND CUSTOMS,1956,Ford,F-100
147,CULT CARS,1959,Ford,Anglia 105E
148,CLASSIC RACERS,1964,Ford,GT40 Mk I
149,CLASSIC MUSCLE,1965,Ford,Mustang GT Coupe
150,VANS AND UTILITY,1965,Ford,Transit
151,CLASSIC RACERS,1966,Ford,#2 GT40 Mk II
152,CLASSIC RACERS,1966,Ford,Lotus Cortina
153,CLASSIC RALLY,1967,Ford,Racing Escort MK1
154,CLASSIC MUSCLE,1968,Ford,Mustang GT 2+2 Fastback
155,CLASSIC MUSCLE,1969,Ford,Mustang Boss 302
156,CLASSIC RALLY,1970,Ford,GT70
157,CLASSIC MUSCLE,1972,Ford,Falcon XA GT-HO
158,CLASSIC SPORTS CARS,1973,Ford,Capri RS3100
159,CLASSIC RALLY,1973,Ford,Escort RS1600
160,PICK-UP & 4X4'S,1975,Ford,Bronco
161,CLASSIC RALLY,1977,Ford,#5 Escort RS1800 MkII
162,CLASSIC RALLY,1977,Ford,Escort RS1800
163,RETRO HOT HATCH,1981,Ford,Fiesta XR2
164,RALLY MONSTERS,1985,Ford,RS200 Evolution
165,RETRO HOT HATCH,1986,Ford,Escort RS Turbo
166,RETRO SALOONS,1987,Ford,Sierra Cosworth RS500
167,RETRO RALLY,1992,Ford,Escort RS Cosworth
168,RETRO MUSCLE,1993,Ford,SVT Cobra R
169,TRACK TOYS,1994,Ford,Supervan 3
170,RETRO RALLY,1999,Ford,Racing Puma
171,RETRO MUSCLE,2000,Ford,SVT Cobra R
172,HOT HATCH,2003,Ford,Focus RS
173,RETRO SUPERCARS,2005,Ford,GT
174,SUPER HOT HATCH,2009,Ford,Focus RS
175,RETRO MUSCLE,2010,Ford,Crown Victoria Police Interceptor
176,PICK-UP & 4X4'S,2011,Ford,F-150 SVT Raptor
177,VANS AND UTILITY,2011,Ford,Transit SuperSportVan
178,MODERN MUSCLE,2013,Ford,Shelby GT500
179,HOT HATCH,2014,Ford,Fiesta ST
180,OFFROAD,2014,Ford,Ranger T6 Rally Raid
181,UNLIMITED OFFROAD,2014,Ford,#11 Rockstar F-150 Trophy Truck
182,VANS AND UTILITY,2014,Ford,FPV Limited Edition Pursuit Ute
183,MODERN MUSCLE,2015,Ford,Falcon GT F 351
184,TRACK TOYS,2016,Ford,Shelby GT350R
185,RALLY MONSTERS,2017,Ford,M-Sport Fiesta RS
186,SUPER HOT HATCH,2017,Ford,Focus RS
187,MODERN SUPERCARS,2017,Ford,GT
188,PICK-UP & 4X4'S,2017,Ford,F-150 Raptor
189,RALLY MONSTERS,2017,Ford,#14 Rahal Letterman Lanigan Racing GRC Fiesta
190,UNLIMITED OFFROAD,2017,Ford,#25 'Brocky' Ultra4 Bronco RTR
191,DRIFT CARS,2018,Ford,#25 Mustang RTR
192,MODERN MUSCLE,2018,Ford,Mustang GT
193,MODERN MUSCLE,2018,Ford,Mustang RTR Spec 5
194,DRIFT CARS,2018,Ford,#88 Mustang RTR
195,PICK-UP & 4X4'S,2019,Ford,Ranger Raptor
196,MODERN MUSCLE,2020,Ford,Mustang Shelby GT500
197,OFFROAD,2020,Ford,#2069 Ford Performance Bronco R
198,OFFROAD,2020,Ford,"#2069 Ford Bronco R ""Welcome Pack"""
199,PICK-UP & 4X4'S,2020,Ford,Super Duty F-450 DRW PLATINUM
200,PICK-UP & 4X4'S,2021,Ford,Bronco
201,DRIFT CARS,1989,Formula Drift,#98 BMW 325i
202,DRIFT CARS,1997,Formula Drift,#777 Nissan 240SX
203,DRIFT CARS,2006,Formula Drift,#43 Dodge Viper SRT10
204,DRIFT CARS,2007,Formula Drift,#117 599 GTB Fiorano
205,DRIFT CARS,2013,Formula Drift,#777 Chevrolet Corvette
206,DRIFT CARS,2015,Formula Drift,#13 Ford Mustang
207,DRIFT CARS,2016,Formula Drift,#530 HSV Maloo GEN-F
208,DRIFT CARS,2018,Formula Drift,#64 Nissan 370Z
209,UNLIMITED BUGGIES,2018,Funco Motorsports,F9
210,VANS AND UTILITY,1983,GMC,Vandura G-1500
211,HYPERCARS,2012,Hennessey,Venom GT
212,PICK-UP & 4X4'S,2019,Hennessey,VelociRaptor 6x6
